Subject,Run,ConditionName,MEDIAN_RT_LARGER,MEDIAN_RT_SMALLER,PROP_LARGER,PROP_NLR,PROP_SMALLER
21,1,REWARD,431.0,389.0,0.4375,0.0,0.5625
22,0,PUNISH,433.0,455.0,0.625,0.0,0.375
22,0,REWARD,449.0,473.5,0.6,0.0,0.4
22,1,PUNISH,585.5,536.5,0.5,0.0,0.5
22,1,REWARD,519.0,620.0,0.375,0.0,0.625
23,0,PUNISH,719.5,596.0,0.375,0.0,0.625
23,0,REWARD,596.5,668.0,0.5,0.0,0.5
23,1,PUNISH,353.0,714.0,0.8125,0.0,0.1875
23,1,REWARD,454.0,593.0,0.625,0.0,0.375
24,0,PUNISH,673.0,511.0,0.5625,0.0,0.4375
24,0,REWARD,640.0,549.5,0.5,0.0,0.5
24,1,PUNISH,401.5,419.5,0.375,0.0,0.625
24,1,REWARD,616.0,469.0,0.1875,0.0,0.8125
25,0,PUNISH,547.5,536.5,0.375,0.0,0.625
25,0,REWARD,483.5,517.0,0.4,0.0,0.6
25,1,PUNISH,383.0,543.0,0.4,0.0,0.6
25,1,REWARD,395.0,516.5,0.46666666666699996,0.0,0.533333333333
26,0,PUNISH,237.0,268.0,0.25,0.0,0.75
26,0,REWARD,269.0,271.0,0.5625,0.0,0.4375
26,1,PUNISH,298.0,350.5,0.5,0.0,0.5
26,1,REWARD,211.0,252.0,0.4375,0.0,0.5625
27,0,PUNISH,434.0,383.0,0.4375,0.0,0.5625
27,0,REWARD,726.0,578.0,0.4375,0.0,0.5625
27,1,PUNISH,802.0,618.0,0.4375,0.0,0.5625
27,1,REWARD,766.0,518.0,0.46153846153800004,0.0,0.538461538462
28,0,PUNISH,,506.0,0.0,0.0,1.0
28,0,REWARD,,455.0,0.0,0.0,1.0
28,1,PUNISH,,531.5,0.0,0.0,1.0
28,1,REWARD,,485.5,0.0,0.0,1.0
29,0,PUNISH,255.0,248.0,0.5625,0.0,0.4375
29,0,REWARD,301.0,512.0,0.6875,0.0,0.3125
29,1,PUNISH,299.0,432.0,0.4375,0.0,0.5625
29,1,REWARD,318.0,326.0,0.5625,0.0,0.4375
30,0,PUNISH,290.5,285.0,0.375,0.0,0.625
30,0,REWARD,,341.5,0.0,0.0,1.0
30,1,PUNISH,261.0,366.0,0.3125,0.0,0.6875
30,1,REWARD,291.0,250.0,0.4375,0.0,0.5625
31,0,PUNISH,439.0,425.5,0.625,0.0,0.375
31,0,REWARD,365.0,449.0,0.5625,0.0,0.4375
31,1,PUNISH,424.0,679.0,0.5625,0.0,0.4375
31,1,REWARD,589.0,589.0,0.625,0.0,0.375
32,0,PUNISH,428.0,392.0,0.5625,0.0,0.4375
32,0,REWARD,368.0,435.0,0.5625,0.0,0.4375
32,1,PUNISH,510.0,214.5,0.5,0.0,0.5
32,1,REWARD,329.5,232.0,0.666666666667,0.0,0.33333333333299997
33,0,PUNISH,192.0,222.0,0.1875,0.0,0.8125
33,0,REWARD,224.0,214.0,0.625,0.0,0.375
33,1,PUNISH,218.0,235.0,0.5625,0.0,0.4375
33,1,REWARD,243.0,235.0,0.6875,0.0,0.3125
34,0,PUNISH,652.0,426.0,0.5625,0.0,0.4375
34,0,REWARD,438.0,526.0,0.5625,0.0,0.4375
34,1,PUNISH,506.0,474.0,0.1875,0.0,0.8125
34,1,REWARD,671.0,667.0,0.4375,0.0,0.5625
35,0,PUNISH,352.5,403.5,0.75,0.0,0.25
35,0,REWARD,,438.0,0.0,0.0,1.0
35,1,PUNISH,429.0,448.5,0.375,0.0,0.625
35,1,REWARD,370.0,412.0,0.6,0.0,0.4
36,0,PUNISH,298.0,321.5,0.625,0.0,0.375
36,0,REWARD,332.5,351.5,0.75,0.0,0.25
36,1,PUNISH,373.0,422.0,0.5625,0.0,0.4375
36,1,REWARD,396.5,483.0,0.625,0.0,0.375
37,0,PUNISH,481.0,326.0,0.533333333333,0.0,0.46666666666699996
37,0,REWARD,370.0,381.0,0.5625,0.0,0.4375
37,1,PUNISH,470.0,576.0,0.5,0.0,0.5
37,1,REWARD,419.0,536.0,0.4375,0.0,0.5625
38,0,PUNISH,372.5,365.5,0.375,0.0,0.625
38,0,REWARD,328.0,324.5,0.5,0.0,0.5
38,1,PUNISH,347.0,535.0,0.5625,0.0,0.4375
38,1,REWARD,372.0,521.0,0.5,0.0,0.5
39,0,PUNISH,308.0,377.0,0.5625,0.0,0.4375
39,0,REWARD,414.0,340.0,0.3125,0.0,0.6875
39,1,PUNISH,438.0,293.5,0.625,0.0,0.375
39,1,REWARD,355.5,418.5,0.25,0.0,0.75
40,0,PUNISH,391.0,402.0,0.3125,0.0,0.6875
40,0,REWARD,392.0,348.0,0.5625,0.0,0.4375
40,1,PUNISH,432.5,656.0,0.625,0.0,0.375
40,1,REWARD,431.0,484.0,0.5,0.0,0.5
41,0,PUNISH,222.5,223.5,0.375,0.0,0.625
41,0,REWARD,249.0,297.0,0.5625,0.0,0.4375
41,1,PUNISH,224.0,230.0,0.5625,0.0,0.4375
